,adress,house_type,biarea_msq,sold_price_kr,date_sold,price_diff_%,agent,size_msq,rooms,omrade,kommun,utgangspris_kr
125,Östra Aspängsgatan 10,Villa,,2320000,2020-06-10,17,Svensk Fastighetsförmedling,130,4,Kinna,Mark,1975000
126,Snappegatan 11,Vinterbonat fritidshus,,3450000,2020-06-10,-4,Askengren Fastighetsmäklare,75,4,Grebbestad,Tanum,3600000
127,Skaftaredsvägen 12,Villa,          78         ,2510000,2020-06-10,27,Svensk Fastighetsförmedling,78,6,Edsås,Alingsås,1975000
128,Hallonvägen 5,Villa,,2050000,2020-06-10,-6,Mäklarhuset,162,5,Grästorp,Grästorp,2175000
129,Stubbered 5,Villa,          82         ,3555000,2020-06-10,24,Mäklarhuset,106,6,Stubbered,Trollhättan,2875000
130,Kaggetorpsvägen 208,Ej specificerad villa,,3450000,2020-06-09,15,Svensk Fastighetsförmedling,125,6,Kaggetorp,Trollhättan,3000000
131,Odenvägen 22,Villa,          26         ,3500000,2020-06-09,19,Svensk Fastighetsförmedling,145,6,Mariedal,Vänersborg,2950000
132,Smidesvägen 6,Villa,          60         ,3860000,2020-06-09,7,Länsförsäkringar Fastighetsförmedling,95,6,Kode,Kungälv,3600000
133,Trädgårdsgatan 6,Villa,,3625000,2020-06-09,0,Svensk Fastighetsförmedling,125.9,6,Ulricehamn,Ulricehamn,3625000
134,Heljerödsgatan 10,Villa,,2600000,2020-06-09,-2,Svensk Fastighetsförmedling,84,5,Bovallstrand,Sotenäs,2650000
135,Tånga 720,Villa,,3300000,2020-06-09,32,Bostadsbutiken,80,4,Uddevalla,Uddevalla,2500000
136,Petared 104,Villa,,3600000,2020-06-09,-1,Mäklarhuset,167,6,Bollebygd,Bollebygd,3625000
137,Panneröd 215,Villa,          56         ,3000000,2020-06-09,16,Gofab Fastighetsbyrå,168,6,Svenshögen,Stenungsund,2575000
138,Vitsippstigen 8,Villa,          51         ,3960000,2020-06-08,-12,Fastighetsbyrån,173,7,Centralt,Strömstad,4500000
139,Kalsrud 124,Gård,          20         ,3600000,2020-06-08,36,Fastighetsbyrån,200,7,Frändefors,Vänersborg,2650000
140,Sibbared Uddebo 1,Villa,          94         ,2500000,2020-06-08,0,Fastighetsbyrån,126,5,Herrljunga Sydöst,Herrljunga,2500000
141,Österängsvägen 51,Villa,,2920000,2020-06-08,9,Fastighetsbyrån,116,5,Höviksnäs,Tjörn,2675000
142,Gärdhems Prästgård,Villa,          80         ,3825000,2020-06-08,6,Fastighetsbyrån,144,8,Gärdhem,Trollhättan,3600000
143,Annelundsvägen 6,Villa,          72         ,2100000,2020-06-08,5,Svensk Fastighetsförmedling,85,5,Hogstorp,Uddevalla,2000000
144,Gamla Stångevägen 3,Villa,          53         ,3650000,2020-06-08,-5,Hus & Hem,154,5,Ammenäs,Uddevalla,3850000
145,Klåddegärdevägen 12,Villa,          15         ,3325000,2020-06-08,-4,Mäklarhuset,130,4,Hindås,Härryda,3475000
146,Olof Gransgatan 12,Villa,          62         ,3340000,2020-06-07,12,Mäklarhuset,116,6,Stavre,Trollhättan,2975000
147,Smedtofta Nykällan 1,Villa,          49         ,2850000,2020-06-06,4,Länsförsäkringar Fastighetsförmedling,240,6,Stora Levene.,Vara,2750000
148,Sofielundsgatan 14,Villa,,2800000,2020-06-05,18,Fastighetsbyrån,123,4,Mösseberg,Falköping,2375000
149,Ekerydsvägen 5,Villa,          200         ,3400000,2020-06-05,-3,Fastighetsbyrån,205,7,Horred,Mark,3500000
150,Bollungsnäset 120,Villa,          15         ,1950000,2020-06-05,18,Fastighetsbyrån,160,7,Sundals-Ryr,Vänersborg,1650000
151,Dunkebacken 2,Villa,          30         ,3000000,2020-06-05,4,Fastighetsbyrån,250,8,Mofalla,Hjo,2875000
152,Toremossegatan 16,Ej specificerad villa,          55         ,3990000,2020-06-05,0,Fastighetsbyrån,81,5,Tolered,Göteborg,4000000
153,Ulricehamnsvägen 47,Villa,          64         ,3225000,2020-06-05,15,Fastighetsbyrån,128,4,stan,Borås,2800000
154,Kristinedal 1 och 2,Villa,,3100000,2020-06-05,-10,Länsförsäkringar Fastighetsförmedling,178,8,Bullaren,Tanum,3450000
155,Gitarrgatan 5,Villa,          88         ,3375000,2020-06-05,4,Länsförsäkringar Fastighetsförmedling,172,7,Hestra,Borås,3250000
156,Knäpplanvägen 13,Villa,          10         ,3200000,2020-06-05,14,SkandiaMäklarna,163,7,Hjo,Hjo,2800000
157,Svälte 102,Villa,,2900000,2020-06-05,-6,Svensk Fastighetsförmedling,126,5,Uddevalla,Uddevalla,3075000
158,Lextorpsvägen 987,Ej specificerad villa,,2335000,2020-06-05,6,Svensk Fastighetsförmedling,132,5,Lextorp,Trollhättan,2200000
159,Staby 350,Villa,          75         ,3300000,2020-06-05,-6,HusmanHagberg,145,5,Kungälv - Kärna,Kungälv,3500000
160,Naglumsgatan 22,Villa,,3450000,2020-06-05,8,Hus & Hem,158,8,Strömslund,Trollhättan,3200000
161,Träde 1,Villa,,2550000,2020-06-05,34,Mäklarhuset,100,4,Tidan,Skövde,1900000
162,Bäckahästens väg 53,Bostadsrättsvilla,,2925000,2020-06-05,0,ERA,101,4,Kronogården,Ale,2925000
163,Bondevägen 16,Villa,          116         ,1800000,2020-06-04,-6,Fastighetsbyrån,106,6,Tåstorp,Falköping,1925000
164,Hålan 450,Villa,          5         ,2450000,2020-06-04,9,Fastighetsbyrån,94,4,Skepplanda,Ale,2250000
165,Lapplandsgatan 24,Villa,,3400000,2020-06-04,8,Fastighetsbyrån,120,4,Kvarnbacken,Alingsås,3150000
166,Kyrkvägen 12,Villa,          30         ,3550000,2020-06-04,0,Fastighetsbyrån,44,4,Skärhamn,Tjörn,3550000
167,Brådstupsvägen 1,Villa,,2350000,2020-06-04,-6,Fastighetsbyrån,140,5,Olsfors,Bollebygd,2500000
168,Sävare Fänriksgården 3,Villa,          46         ,3100000,2020-06-04,11,Fastighetsbyrån,167,5,Vinninga,Lidköping,2800000
169,Bolåsvägen 8,Villa,,3700000,2020-06-04,9,Fastighetsbyrån,98,6,Mölnlycke,Härryda,3400000
170,Östra Gröngatan 13,Villa,          40         ,3295000,2020-06-04,0,Fastighetsbyrån,158,8,Centrum,Uddevalla,3300000
171,Åsbergs gata 11,Villa,          130         ,1910000,2020-06-04,16,Svensk Fastighetsförmedling,142,7,Horred,Mark,1650000
172,Tunvägen 8,Villa,          66         ,3800000,2020-06-04,0,Svensk Fastighetsförmedling,95,5,Kållered,Mölndal,3800000
173,Hjortryd Ekekullen 3,Villa,          4         ,3000000,2020-06-04,36,Länsförsäkringar Fastighetsförmedling,154,4,Dalsjöfors,Borås,2200000
174,Jakobsbergsgatan 4,Villa,          30         ,3300000,2020-06-04,3,Bostadsbutiken,170,8,Bleket,Uddevalla,3200000
175,Stakeklevsvägen 10,Villa,          20         ,2375000,2020-06-04,90,Svensk Fastighetsförmedling,126,5,Hällekis,Götene,1250000
176,Lilla Fjellsholmen 18,Vinterbonat fritidshus,,2200000,2020-06-04,-64,Gofab Fastighetsbyrå,103,5,Lilla Fjellsholmen,Kungälv,6100000
177,Lyr-Bäckevik 561,Villa,,3500000,2020-06-04,19,ERA,126,5,Lyr,Orust,2950000
178,Rished 170,Villa,,2250000,2020-06-04,29,ERA,70,5,Ale,Ale,1750000
179,Mossen 132,Villa,,2500000,2020-06-04,-7,LISTED,108,4,Nygård,Lilla Edet,2700000
180,Fyrbyggarevägen 13,Villa,          83         ,2800000,2020-06-04,10,ERA,83,5,Skepplanda,Ale,2550000
181,Tuvtåtelvägen 8,Villa,,3400000,2020-06-04,6,LISTED,5,,ALVHEM,Ale,3200000
182,Trandaredsgatan 12,Villa,          50         ,1875000,2020-06-03,-6,Fastighetsbyrån,120,7,Trandared,Borås,2000000
183,Norska gatan 25,Villa,          113         ,3800000,2020-06-03,1,Fastighetsbyrån,112,6,Tegelbruket,Alingsås,3750000
184,Prästkragsvägen 44,Villa,          140         ,4000000,2020-06-03,7,Fastighetsbyrån,118,8,Floda - Hästhagen,Lerum,3750000
185,Skolgatan 2,Villa,          12         ,2600000,2020-06-03,24,Länsförsäkringar Fastighetsförmedling,156,5,Väring,Skövde,2100000
186,Skogsgränd 4,Villa,          138         ,2400000,2020-06-03,43,Länsförsäkringar Fastighetsförmedling,114,6,Tosseryd,Borås,1675000
